#Transcript position	Transcript coverage profile
0.0	0.11728146339765043
1.0	0.010427678056524545
2.0	0.0
3.0	0.009591930996781555
4.0	0.01504506509861118
5.0	0.001968503937007874
6.0	0.013822832536792031
7.0	0.009705704689168279
8.0	0.011567709697128392
9.0	0.009368957847523392
10.0	0.009609756628012693
11.0	0.004519245753467353
12.0	0.012684632545249043
13.0	0.00939056047468221
14.0	0.022404687915059295
15.0	0.020396412162731102
16.0	0.014681785999772172
17.0	0.02909811302692443
18.0	0.017784041570985773
19.0	0.005602121270788492
20.0	0.014908384158417822
21.0	0.005400655042979987
22.0	0.0072824044485535165
23.0	0.004477611940298508
24.0	0.016189279540680394
25.0	0.020338527130966115
26.0	0.010860031485270313
27.0	0.020874557164203347
28.0	0.01399171642729211
29.0	0.013908228291886874
30.0	0.01674897684712979
31.0	0.0216469922929721
32.0	0.0218843348839086
33.0	0.014301401757438246
34.0	0.021481877212944853
35.0	0.023191886433171417
36.0	0.0
37.0	0.01397788839686063
38.0	0.008320849707593255
39.0	0.003928674524985221
40.0	0.0063717665862497875
41.0	0.017816849546638928
42.0	0.019455739744668087
43.0	0.014345311192975352
44.0	0.011718701064848304
45.0	0.01877434335006611
46.0	0.017918589174440093
47.0	0.02467553394959634
48.0	0.03415956732827715
49.0	0.0095503300330033
50.0	0.014599447996366558
51.0	0.011710400475943055
52.0	0.019383360816728836
53.0	0.004637634299587065
54.0	0.0044444444444444444
55.0	0.007036692522882485
56.0	0.02253522000313737
57.0	0.012373374297448086
58.0	0.005756751786464901
59.0	0.019614226104213307
60.0	0.020309317750988525
61.0	0.002173913043478261
62.0	0.008363278968218948
63.0	0.005928994953920488
64.0	0.014496253977783835
65.0	0.015401401048122857
66.0	0.025712466521170062
67.0	0.03227694270602704
68.0	0.002980967667966063
69.0	0.011062445054608518
70.0	0.0018248175182481751
71.0	0.024257030855420685
72.0	0.037393806338413486
73.0	0.024281280209520913
74.0	0.01283815413258854
75.0	0.012310865578778989
76.0	0.009537076122180497
77.0	0.021555890745324675
78.0	0.018384508904859702
79.0	0.019488821414462298
80.0	0.035994200998218984
81.0	0.02791206650449024
82.0	0.01654518046241537
83.0	0.04731902034548812
84.0	0.027450059530426563
85.0	0.011606228287390566
86.0	0.017094648964433308
87.0	0.01966686366042943
88.0	0.025882265184138976
89.0	0.03933709919951512
90.0	0.06586716220132667
91.0	0.04034597429050194
92.0	0.04037368993962828
93.0	0.04152061348328406
94.0	0.04378675926230365
95.0	0.02930557274549732
96.0	0.041404614306863555
97.0	0.08913446801805083
98.0	0.12331373929005121
99.0	0.0759158874381829
