#Transcript position	Transcript coverage profile
0.0	0.13784995384750887
1.0	0.03430173077250719
2.0	0.005684302200804876
3.0	0.007278581188567124
4.0	7.077140835102619E-4
5.0	0.006801214465448043
6.0	0.012991709908175138
7.0	0.008137078748862898
8.0	0.01024755186678576
9.0	0.023497400727899992
10.0	0.026579862768734867
11.0	0.03026766281309152
12.0	0.05427608010638562
13.0	0.018161385420278262
14.0	0.010825026926708694
15.0	0.026058781552059537
16.0	0.012996562653629449
17.0	0.0028465501468534836
18.0	0.011030118372636311
19.0	0.007076592193117617
20.0	0.01762490419950354
21.0	0.024109117623541766
22.0	0.029252039768279878
23.0	0.014960716153631788
24.0	0.005209513023782559
25.0	0.031674716080039154
26.0	0.024786213551915164
27.0	0.015975833535227395
28.0	0.029786653638921502
29.0	0.006938816394547293
30.0	0.010180127085578552
31.0	0.0014114326040931546
32.0	0.029848582125320267
33.0	0.01782322053075117
34.0	0.00959585414138004
35.0	0.0
36.0	0.0
37.0	0.0070059236840544666
38.0	0.015985583071813414
39.0	0.01984902567132657
40.0	0.008921593687941215
41.0	0.006464898557342113
42.0	0.03093492642877273
43.0	0.01696775268804639
44.0	0.03616611818931816
45.0	0.017560680973382668
46.0	0.018480417776336553
47.0	0.012954853162932248
48.0	0.008307391397973433
49.0	0.012185724510505213
50.0	0.02791722759852032
51.0	0.03487336258208525
52.0	0.017464792066059078
53.0	0.014766491501586734
54.0	0.012700394043892593
55.0	0.0096896947049385
56.0	0.020641450284019595
57.0	0.014787358480617614
58.0	0.027570450167025265
59.0	0.012012437161377374
60.0	0.008706442360503672
61.0	0.010266537324464153
62.0	0.00656674246577707
63.0	0.019609251288170773
64.0	0.018467043848543505
65.0	0.018946090324173145
66.0	0.009526204263994878
67.0	0.0029640607632456465
68.0	0.009353927032129363
69.0	0.017782614046194595
70.0	0.003561122678958986
71.0	0.042715724656115256
72.0	0.00585747925849925
73.0	0.017488481474115008
74.0	0.008933025356228233
75.0	0.0234929957371479
76.0	0.028767628369163356
77.0	0.02902257147293582
78.0	0.0077138478343664755
79.0	0.015044568383138078
80.0	0.026295231655378816
81.0	0.04229266678232462
82.0	0.031321589902831244
83.0	0.04798384274829759
84.0	0.02728134024972605
85.0	0.017958307465714106
86.0	0.015869340336788666
87.0	0.036271857260704664
88.0	0.028127892729206766
89.0	0.047832777950164815
90.0	0.01689978058592736
91.0	0.029581786327915843
92.0	0.04216385508257305
93.0	0.028155812676666343
94.0	0.05136014233461244
95.0	0.036448663460836375
96.0	0.0433956660668883
97.0	0.10344595741010489
98.0	0.12824968936271236
99.0	0.10649978343351721
