#Transcript position	Transcript coverage profile
0.0	0.14778987486467743
1.0	0.016502105036861354
2.0	0.043453671239076695
3.0	0.05649343132386395
4.0	0.018766919247694476
5.0	0.05156485971337598
6.0	0.01810803412150718
7.0	0.013164911499103295
8.0	0.01744937652681473
9.0	0.019153247397657423
10.0	0.03090856366409931
11.0	0.022011435032055795
12.0	0.01173799676317209
13.0	0.03259794624124619
14.0	0.03964425134317423
15.0	0.04086248662115648
16.0	0.030008457742327795
17.0	0.025135771113224195
18.0	0.04961040731695614
19.0	0.03215273252772634
20.0	0.02927396323192129
21.0	0.01745010271078255
22.0	0.033559943427242986
23.0	0.022299253765373735
24.0	0.03856752131626852
25.0	0.016122204336843138
26.0	0.03028200412185941
27.0	0.02697531471889536
28.0	0.016459799407163536
29.0	0.014166585768253519
30.0	0.0059269745521322685
31.0	0.010528699405977143
32.0	0.015607049160720154
33.0	0.0225303888411779
34.0	0.05649261148852444
35.0	0.024011295927612517
36.0	0.0031253386022733485
37.0	0.014188089222751384
38.0	0.0022624614065160434
39.0	0.019452620892830185
40.0	0.032351622161152435
41.0	0.013491994647555862
42.0	0.007599220528996446
43.0	0.012801118286209232
44.0	0.0037156673053096606
45.0	0.024998866226380513
46.0	0.041437836272174434
47.0	0.02489957667015482
48.0	0.044006992574077336
49.0	0.008246699925965795
50.0	0.009847941651536003
51.0	0.011439896813617515
52.0	0.02085309027694478
53.0	0.020766226385281895
54.0	0.019464527354664467
55.0	0.031077496211372523
56.0	0.0546035198119627
57.0	0.012637741542485845
58.0	0.013554190232076917
59.0	0.01354385578700333
60.0	0.02793045761933273
61.0	0.027783314713022537
62.0	0.06550833495055919
63.0	0.08437002078980241
64.0	0.09876746281913046
65.0	0.06692465177035588
66.0	0.027390288568747662
67.0	0.0239279117584073
68.0	0.02703077766634817
69.0	0.030140139849177582
70.0	0.026610276946923996
71.0	0.014380928743048475
72.0	0.024227849230857156
73.0	0.01968602654523623
74.0	0.02087722188466996
75.0	0.02722851745976846
76.0	0.04787178886654015
77.0	0.04036556610627485
78.0	0.018565946493061907
79.0	0.03544315437025218
80.0	0.04891765959210784
81.0	0.04761335346657691
82.0	0.06826051181400165
83.0	0.06515682628548677
84.0	0.04688297378743273
85.0	0.05838838773137
86.0	0.027966320367738273
87.0	0.03240922596765984
88.0	0.05703166526822791
89.0	0.04306705337040386
90.0	0.04577390018950889
91.0	0.04522610545846098
92.0	0.02285641570985028
93.0	0.05527412278183296
94.0	0.030961577373197356
95.0	0.09382982934298764
96.0	0.11893577690964334
97.0	0.104018386566371
98.0	0.1615972801619538
99.0	0.08307172741421964
